title,abstract,journal,DOI,year
Does arthroscopic assistance improve reduction in distal articular radius fracture? A retrospective comparative study using a blind CT assessment.,"INTRODUCTION: The objective of this study was to compare the articular reduction in two groups of patients with a distal articular radius fracture who underwent surgery with versus without arthroscopic assistance. The initial hypothesis of this study is that arthroscopic assistance does not improve reduction in distal articular radius fractures.METHODS: The study was retrospective (1/04/2014-01/04/2017) and included 41 patients: 23 had arthroscopically assisted osteosynthesis, and 18 had not. All patients included had CT before and 3 months after surgery. All radiographic and CT measurements were retrospectively taken by an independent radiologist who did not know which operative technique was performed. Secondary judgement criteria were clinical analysis at 1-year follow-up and tourniquet time. We also reported all soft tissue injuries diagnosed and repaired and postoperative complications.RESULTS: At the third month, articular step was 0.91 ± 1.25 mm (arthroscopy) and 1.41 ± 1.68 mm (no arthroscopy), without statistical difference (p = 0.3756). No difference was found for articular gap between the two groups [arthroscopy (0.55 ± 1.04 mm), (no arthroscopy (0.82 ± 1.54 mm)] (p = 0.8574). Except for the tourniquet time, clinical results at 1-year follow-up were not different. One patient of each group had a scapholunate pinning, and 6 patients of the arthroscopy group had a TFCC 1B injury, which was repaired.CONCLUSION: This study did not demonstrate that arthroscopic assistance improves step and gap reduction of articular distal radius fracture, confirming initial hypothesis and recent literature data.LEVEL OF EVIDENCE: Retrospective, III.",European journal of orthopaedic surgery &amp; traumatology : orthopedie traumatologie,30488139,2018
TFCC Lesions in Children and Adolescents: Open Treatment.,"BACKGROUND: There has been little discussion regarding the lesion of the TFCC in pediatric and adolescent patients. This study examines 11 cases treated with open technique.METHODS: Range of motion (ROM), strength and functional scores (QUICK DASH, PWRE, VAS pain, and NAKAMURA score) were evaluated.RESULTS: The mean postoperative flexion-extension arc was 95% of the contralateral side, the radio-ulnar deviation 91% of the contralateral side and the pronation-supination arc 94% of the unaffected side. Grip strength was 85.6% of the uninjured wrist, pinch was 88%. The mean PRWE decreased from 84.4 to 9.85 postoperatively. The mean Q-DASH scored 10.4. The VAS pain under stress decreased from a mean of 6.8 to a mean of 2.27, while at rest it decreased from a mean of 5 to a mean of 0.5. The final clinical results obtained by Nakamura score were 2 excellent, 6 good and 3 fair.CONCLUSIONS: This study emphasizes that open surgical TFCC repair is a safe and reliable therapeutic procedure in children and adolescent populations.",The journal of hand surgery Asian-Pacific volume,30428785,2018
What is the Natural History of the Triangular Fibrocartilage Complex Tear Without Distal Radioulnar Joint Instability?,"BACKGROUND: The triangular fibrocartilage complex (TFCC) tear is a common cause of ulnar-side wrist pain; however, its natural course is not well understood.PURPOSES: We sought (1) to determine the natural course of TFCC tears without distal radioulnar joint (DRUJ) instability, and (2) to identify the factors associated with poor prognosis after nonsurgical treatment of TFCC tears.METHODS: Over a 3-year period, we treated 117 patients with TFCC tears who did not have DRUJ instability. The diagnosis was made on the basis of ulnar-sided wrist pain, a positive ulnocarpal stress test or ulnar grinding test, and identification of a tear on MRI or CT arthrography. Of those, 25 were excluded during the initial evaluation period because they met the previously defined indications of surgery on the basis of clinical history. Another 19 patients (20%) were lost to followup before 6 months, and one patient was excluded because of prior wrist surgery, leaving 72 wrists in 72 patients for analysis in this retrospective study, which drew data from a review of electronic medical records of one institution. The group consisted of 42 men and 30 women, with a mean age of 40 years (range, 18-70 years). The study group was followed for a mean of 16 months (range, 6 to 36 months). We evaluated the pain VAS and patient-rated wrist evaluation (PRWE) at the initial visit, at 4, 8, and 12 weeks, and at more than 6 months after the initial visit. A PRWE score ≤ 20 points indicated complete recovery, and a PRWE score more than 20 points was considered an incomplete recovery. We used Kaplan-Meier survival analysis and Cox regression modelling to estimate the time to complete recovery and to identify factors associated with incomplete recovery among the seven possible factors of older age (≥ 45 years), male, obesity (body mass index ≥ 30 kg/m), dominant-hand involvement, chronic symptoms (≥ 6 months), traumatic tear, and ulnar-plus variance.RESULTS: The Kaplan-Meier survival analysis showed that estimated cumulative incidence of complete recovery was 30% (95% confidence interval [CI], 20-40) at 6 months and 50% (95% CI, 39-61) at 1 year. We could not find any risk factors among the seven candidate factors, including older age (hazard ratio [HR], 0.608; 95% CI, 0.34-1.087; p = 0.093), male (HR, 1.152; 95% CI, 0.667-1.991; p = 0.612), obesity (HR, 1.433; 95% CI, 0.603-3.402; p = 0.415), dominant hand involvement (HR, 1.808; 95% CI, 0.927-3.527; p = 0.082), chronic symptoms (HR, 0.763; 95% CI, 0.443-1.922; p = 0.133), traumatic tear (HR, 0.756; 95% CI, 0.432-1.32; p = 0.325), and ulnar plus variance (HR, 0.804; 95% CI, 0.461-1.404; p = 0.443).CONCLUSIONS: This study demonstrates that nonsurgical treatment is moderately successful for treating patients with TFCC tears without DRUJ instability. We recommend a minimum of 6 months nonsurgical treatment as the first-line treatment for this injury. Future studies are necessary to clarify predictors of persistent pain with nonsurgical treatment to avoid an unnecessary surgical delay.LEVEL OF EVIDENCE: Level III, prognostic study.",Clinical orthopaedics and related research,30376460,2018
Effect of Total Flavones from Cuscuta Chinensis on Anti-Abortion via the MAPK Signaling Pathway.,"For centuries, the Chinese herb Cuscuta chinensis has been applied clinically for abortion prevention in traditional Chinese medicine (TCM). Total flavones extracted from Cuscuta chinensis (TFCC) are one of the active components in the herb and also display anti-abortion effect similar to the unprocessed material. However, how TFCC exerts the anti-abortion effect remains largely unknown. In this study, we aim at characterizing the anti-abortion effects of TFCC and its underlying molecular mechanism in vitro and in vivo using human primary decidua cells and a mifepristone-induced abortion model in rat, respectively. The damage to the decidua caused by mifepristone in vivo was reversed by TFCC treatment in a dosage-dependent manner. High dosage of TFCC significantly upregulated the expression of estrogen receptor (ER), progesterone receptor (PR), and prolactin receptor (PRLR) in decidua tissue but downregulated the expression of p-ERK. Furthermore, we detected higher level of p-ERK and p-p38 in primary decidua cells from spontaneous abortion while treatment by TFCC downregulated their expression. Our results suggest TFCC mediates its anti-abortion effect by interfering with MAPK signaling pathway.",Evidence-based complementary and alternative medicine : eCAM,30369955,2018
Volar dislocation of the ulnar head after distal radial fracture: Case report and review of the pertinent literature.,"We report the case of volar dislocation of the ulnar head occurred after osteosynthesis for the treatment of distal radius fracture.</AbstractText>: We report the case of volar dislocation of the ulnar head occurred after osteosynthesis for the treatment of distal radius fracture.The patient, 68-year-old female, had the dorsal displaced left distal radius fracture and volar dislocation of the ulnar head. Osteosynthesis was performed using a volar locking plate without postoperative immobilization. Two weeks after surgery, volar dislocation of the ulnar head in distal radioulnar joint (DRUJ) was noted on CT. Re-operation, triangular fibrocartilage complex (TFCC) was sutured to the ulnar fovea using a suture anchor, was performed in order to stabilize DRUJ. At 24 months after surgery, left wrist joint pain and the range of motion have improved, and the Mayo wrist score was excellent.</AbstractText>: The patient, 68-year-old female, had the dorsal displaced left distal radius fracture and volar dislocation of the ulnar head. Osteosynthesis was performed using a volar locking plate without postoperative immobilization. Two weeks after surgery, volar dislocation of the ulnar head in distal radioulnar joint (DRUJ) was noted on CT. Re-operation, triangular fibrocartilage complex (TFCC) was sutured to the ulnar fovea using a suture anchor, was performed in order to stabilize DRUJ. At 24 months after surgery, left wrist joint pain and the range of motion have improved, and the Mayo wrist score was excellent.Based on the fact that the radius was fractured and the ulna was dislocated in DRUJ at the time of injury, the present case may have been a Galeazzi fracture.</AbstractText>: Based on the fact that the radius was fractured and the ulna was dislocated in DRUJ at the time of injury, the present case may have been a Galeazzi fracture.When distal radius fracture is complicated by ulnar instability of DRUJ, active repair of the TFCC function may be necessary to prevent residual postoperative instability.</AbstractText>: When distal radius fracture is complicated by ulnar instability of DRUJ, active repair of the TFCC function may be necessary to prevent residual postoperative instability.",Annals of medicine and surgery (2012),30364754,2018
Tenodesis of the Ulnotriquetrum Ligament to the Fovea for a Triangular Fibrocartilage Complex Tear.,"We developed a novel procedure to treat a triangular fibrocartilage complex (TFCC) foveal tear, namely tenodesis of the ulnotriquetrum ligament (UTL) to the fovea. We attempted to reestablish the tension of the palmar radioulnar ligament by the procedure specifically in cases with palmar radius instability relative to the ulna. We used a palmar surgical approach to expose the palmar aspect of TFCC in which the ulnocarpal ligament merges with the palmar radioulnar ligament. UTL was distally excised at a 4 mm width from the triquetrum without disrupting its ligamentous connection to the palmar radioulnar ligament proximally. We pulled out the distal UTL through the bone tunnel from the fovea to ulnar neck. The UTL graft was fixed to the fovea with an interference screw. In 13 cases, this procedure effectively decreased ulnar wrist pain, improved distal radioulnar joint instability, and restored wrist motion and grip strength.",Techniques in hand &amp; upper extremity surgery,30300245,2018
Prognostic Factors of Arthroscopic Debridement for Central Triangular Fibrocartilage Complex Tears in Adults Younger Than 45 Years: A Retrospective Case Series Analysis.,"PURPOSE: The purpose of this study was to analyze factors that affect the treatment outcomes of arthroscopic debridement for central triangular fibrocartilage complex (TFCC) lesions in adults &lt;45 years of age.METHODS: A total of 71 patients (mean age, 39 years; range, 20-44 years) who had been arthroscopically diagnosed with central TFCC tears were treated with arthroscopic debridement. Demographic, clinical, and arthroscopic findings were examined and analyzed. The response to treatment, including pain numeric rating scale on an ulnar provocation test; Disability of the Arm, Shoulder, and Hand score; and satisfaction with treatment, was assessed at 12-month follow-up.RESULTS: The mean pain numeric rating scale (6.6 ± 3.6 to 2.4 ± 2.0, P &lt; .01) and Disability of the Arm, Shoulder, and Hand (59.3 ± 15.0 to 33.7 ± 14.1, P &lt; .01) scores exhibited significant clinical improvement at 12-month follow-up. In terms of satisfaction, 43 patients (70.5%) were satisfied (enthusiastic or satisfied) and 18 (29.5%) were dissatisfied (noncommittal or disappointed). In the satisfied group, there were 24 flap and 19 wearing tears, whereas in the dissatisfied group, there were 4 flap and 14 wearing tears (P = .02). The extent of ulnar plus variance on preoperative radiographs also differed between the 2 groups (0.5 ± 1.2 vs 1.7 ± 1.1, P &lt; .01). There were no significant differences in age, gender, hand dominance, or work level between the groups. After controlling for confounding variables, the wearing type tears (odds ratio, 3.4) and greater ulnar plus variance (odds ratio, 2.0) were associated with a higher likelihood of dissatisfaction after arthroscopic TFCC debridement.CONCLUSIONS: Although clinical outcome scores showed significant improvement after arthroscopic debridement for central TFCC tears, wearing type tears and greater ulnar plus variance were associated with dissatisfaction and poorer postoperative outcomes after the procedure.LEVEL OF EVIDENCE: Level IV, case series.",Arthroscopy : the journal of arthroscopic &amp; related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,30292592,2018
Triangular Fibrocartilage Complex Repair and Ulna Variance: A Systematic Review.,"BACKGROUND: This purpose of the study was to conduct a systematic review of available literature regarding the association between ulnar variance and outcomes after repair of peripheral traumatic tears of the triangular fibrocartilage complex (TFCC).METHODS: A systematic literature search of the medical literature about peripheral tears of the TFCC was performed. We selected seven studies comparing clinical outcome and ulnar variance in patients with peripheral TFCC tears. We evaluated quality of the articles using both the Structured Effectiveness Quality Evaluation Scale (SEQES) and Sackett's Level of Evidence (LOE). The outcomes were objective or self-assessment scoring systems for the function of the hand, wrist, or upper extremity.RESULTS: Seven articles were evaluated. The SEQES scores varied from 19 to 28, with a mean of 23. Five studies reported no association between ulnar variance and clinical outcome, and 2 studies reported an association. The studies reporting no association either excluded or did not mention the cases of unstable distal radioulnar joint (DRUJ).CONCLUSIONS: This systematic review did not demonstrate strong evidence regarding the association between ulnar variance and outcomes after TFCC repair. As most of the studies did not distinguish between capsular and foveal tears which can affect DRUJ stability, further studies looking at this point are necessary to determine whether ulnar shortening osteotomy has an added value for better outcomes after TFCC repair.",The journal of hand surgery Asian-Pacific volume,30282532,2018
The Prevalence of Triangular Fibrocartilage Complex Signal Abnormalities on Magnetic Resonance Imaging Relative to Clinical Suspicion of Pathology.,"PURPOSE: To determine the prevalence of triangular fibrocartilage complex (TFCC) signal changes in patients undergoing magnetic resonance imaging (MRI) of the wrist and its relationship to a clinical suspicion of TFCC pathology. The secondary purpose was to study factors that are associated with TFCC signal changes.METHODS: In this retrospective study, we looked for any TFCC signal changes in the reports of MRI findings performed during a 3-year period in 1,134 patients. Demographic characteristics, the categorized indications for MRI, and symptoms at the time of the MRI were also retrieved from the medical records. Patients were divided into 6 groups, based on age, to calculate the proportions of TFCC signal changes in the entire cohort and as an incidental finding among patients without a clinical suspicion of TFCC pathology within each age group.RESULTS: A total of 321 patients (28%) had incidental TFCC signal changes. The prevalence among 18- to 30 year-olds was 19%, and increased to 64% in patients older than 70 years. Multivariable logistic regression analysis demonstrated that an increase in age is significantly associated with having TFCC signal changes on MRI in patients who have a low clinical suspicion of TFCC pathology. The rate of incidental TFCC signal changes steadily increases with age.CONCLUSIONS: The TFCC signal abnormalities on MRI are more common with increasing age in patients with low clinical suspicion of TFCC pathology. At age 70, more than half of all patients will have TFCC signal changes, and more than 90% are present in patients with a low clinical suspicion of TFCC pathology.LEVEL OF EVIDENCE: Diagnostic IV.",The Journal of hand surgery,30172277,2018
Outcomes of Operative Treatment of Triangular Fibrocartilage Tears in Pediatric and Adolescent Athletes.,"BACKGROUND: Triangular fibrocartilage complex (TFCC) tears have been treated with increasing frequency in pediatric and adolescent patients over the past decade. There is little information on these injuries in young athletes and a scarcity of data regarding their ability to return to preinjury levels of athletic participation. The purpose of this study was to review the outcomes of pediatric and adolescent athletes with operatively treated TFCC tears with or without a concurrent ulnar shortening osteotomy and to determine their ability to return to their preoperative level of activity.METHODS: A retrospective chart review was performed for all patients who underwent operative treatment of TFCC tears between 2006 and 2012 within one Upper Extremity practice. Patients were included if they were high-level athletes, unable to participate in their sport secondary to wrist pain and desired to return to their sport. All operative patients had imaging studies and clinical findings consistent with TFCC injury as the primary source of their activity-limiting pain and had failed nonoperative management prior to surgery. Patients without at least 3 months of documented postoperative follow up were excluded.RESULTS: In total, 22 patients were included in the chart review with 20 patients willing to participate in a telephone survey and PODCI. Eighty percent of patients returned to their sport following operative treatment of their injury at an average of 4.8 months. Seven of the 22 patients underwent a concurrent ulnar shortening osteotomy for ulnar positive variance. All 20 patients reported satisfaction with the outcomes of their surgery and treatment.CONCLUSIONS: Operative treatment of TFCC injuries in adolescent and pediatric athletes after failure of conservative treatment allowed return to sport at the previous level of participation. Concurrent ulnar shortening osteotomy in the setting of ulnar positive variance did not prohibit return to high-level athletic participation.LEVEL OF EVIDENCE: Level IV.",Journal of pediatric orthopedics,30134350,2018
