"","LastName","value","L1"
"1","Saab","M",30488139
"2","Pfanner","S",30428785
"3","Zhang","H",30392273
"4","Lee","JK",30376460
"5","Wu","HW",30369955
"6","Nagura","N",30364754
"7","Zhu","AF",30349754
"8","Thomsen","NOB",30349750
"9","Matsumoto","T",30349749
"10","Moritomo","H",30300245
"11","Roh","YH",30292592
"12","Jung","KJ",30282532
"13","Nakamura","T",30258701
"14","Abe","Y",30174985
"15","Bendre","HH",30172277
"16","Chen","JH",30158166
"17","Fishman","FG",30134350
"18","Andersson","JK",30081654
"19","Chen","AC",30064441
"20","Chen","Z",30017412
"21","Santo","S",29983214
"22","Roh","YH",29974215
"23","Tünnerhoff","HG",29955933
"24","Treiser","MD",29922507
"25","Ozer","K",29922503
"26","Kootstra","TJM",29922502
"27","Schmitt","R",29915995
"28","Roh","YH",29855684
"29","Qian","H",29851780
"30","Pillukat","T",29797018
"31","Boer","BC",29700613
"32","Park","A",29602654
"33","Artiaco","S",29572641
"34","Andersson","JK",29536282
"35","Pulos","N",29525025
"36","Löw","S",29523902
"37","Park","JH",29523373
"38","Arsalan-Werner","A",29508106
"39","Zhang","HJ",29496179
"40","Fok","MWM",29476211
"41","Tomaino","MM",29413189
"42","Trehan","SK",29395584
"43","Farr","S",29383275
"44","Bayoumy","MA",29354477
"45","Johnson","JC",29322875
"46","Lee","SH",29307765
"47","Park","HJ",29260880
"48","Moloney","M",29258363
"49","Park","JH",29124362
"50","Gao","Y",29107008
"51","Greene","RM",29085736
"52","Jose","J",29075810
"53","Henry","SL",29068933
"54","Saito","T",29068932
"55","Kasapinova","K",29054543
"56","Lindau","T",28991577
"57","Slutsky","DJ",28991576
"58","Chu-Kay Mak","M",28991575
"59","Fujio","K",28991574
"60","Haugstvedt","JR",28991573
"61","Saito","T",28991572
"62","Ng","AWH",28932701
"63","Marès","O",28865983
"64","Chang","AL",28829171
"65","Ochman","S",28808768
"66","Zhan","H",28808764
"67","Cha","SM",28709834
"68","Meyer","D",28708756
"69","Chen","AC",28694892
"70","Lourie","GM",28644935
"71","Edgerton","MT",28643521
"72","Ramavath","AL",28594695
"73","Nozaki","T",28522258
"74","Soreide","E",28511611
"75","Mathoulin","CL",28488448
"76","Christiaens","N",28465199
"77","Omokawa","S",28428909
"78","Cha","SM",28419031
"79","Chen","WJ",28373941
"80","Zhan","HL",28345546
"81","Mohamadi","A",28344533
"82","Di Matteo","A",28339356
"83","Miyamura","S",28259283
"84","Hammer","N",28246600
"85","Swart","E",28235122
"86","Johandi","F",28211292
"87","Pang","EQ",28185125
"88","Luchetti","R",28183230
"89","Atzei","A",28132592
"90","Gabl","M",28119800
"91","Löw","S",28119793
"92","Löw","S",28080158
"93","Adams","JE",28052828
"94","Ma","CH",28034486
"95","Nakamura","T",27932401
"96","Soreide","E",27917687
"97","Schmitt","R",27909756
"98","Fontès","D",27890214
"99","Bayoumy","MA",27857481
"100","Huber","M",27663055
"101","Cheng","YB",29282959
"102","Ruchelsman","DE",27653142
"103","Henderson","CJ",27637665
"104","Kuremsky","MA",27614390
"105","Jegal","M",27595945
"106","Becce","F",27548002
"107","von Borstel","D",27535592
"108","Turan","S",27499320
"109","Pillukat","T",27491857
"110","Del Gaudio","T",27379858
"111","Schmelzer-Schmied","N",27379856
"112","Onishi","T",27356009
"113","Unglaub","F",27337373
"114","Woo","SJ",27293286
"115","Zhan","HL",27290709
"116","Nance","E",27281315
"117","Kim","YS",27247512
"118","Lutz","M",27221230
"119","Barlow","SJ",27196674
"120","Cockenpot","E",27183404
"121","Nakamura","T",27179047
"122","Rehnitz","C",27139176
"123","Bayoumy","MA",27047230
"124","Seo","JB",27039349
"125","Bouri","F",27016647
"126","Poublon","AR",26997325
"127","Schmauss","D",26969464
"128","Pirolo","JM",26947354
"129","Hung","CY",26945222
"130","Tan","V",26920113
"131","Frank","RM",26900557
"132","Abe","Y",26855835
"133","Patel","AA",26794124
"134","Kasapinova","K",26763270
"135","Ayalon","O",26761916
"136","Ersoy","H",26731391
"137","Andersson","JK",26701974
"138","Lee","RK",26700348
"139","Bae","WC",26691643
"140","Semisch","M",26685153
"141","Krimmer","H",26596267
"142","Murray","D",26568729
"143","Mannil","L",26566794
"144","Griska","A",26518323
"145","Meluzinová","P",26516956
"146","Lubowitz","JH",26433238
"147","Andersson","JK",26433237
"148","Spies","CK",26433236
"149","Nishiwaki","M",26409579
"150","Gugger","Y",26344158
"151","Nakamura","T",26291393
"152","Spies","CK",26242547
"153","Spies","CK",26239297
"154","Kachooei","AR",26231483
"155","Cody","ME",26216770
"156","Spies","CK",26156724
"157","Klempka","A",26139315
"158","Skalski","MR",26117527
"159","Farr","S",26108175
"160","Andersson","JK",26095820
"161","Volkmer","E",26084854
"162","Gong","HS",26037650
"163","Rein","S",26024577
"164","Plöger","MM",25956726
"165","Huber","MK",25950024
"166","Geissler","WB",25945301
"167","Hunter-Smith","DJ",25944552
"168","Bessho","Y",25940500
"169","Moritomo","H",25938817
"170","Farr","S",25916955
"171","Rosvall","F",25825899
"172","Sollerman","C",25825890
"173","Chen","RC",25784945
"174","Rosvall","F",25734437
"175","Atzei","A",25709875
"176","Nakamura","T",25709874
"177","Bain","GI",25709873
"178","Moritomo","H",25709872
"179","García-Ruano",NA,25659917
"180","Unglaub","F",25630965
"181","Möldner","M",25617955
"182","Minami","A",25609268
"183","Wang","ZX",25600854
"184","Nishiwaki","M",25591036
"185","Kirchberger","MC",25575720
"186","Stein","AJ",25575187
"187","Woitzik","E",25550665
"188","Moritomo","H",25542437
"189","Ferreira","LM",25499840
"190","Harley","BJ",25459378
"191","Chawla","A",25455401
"192","Pillukat","T",25452090
"193","Jiang","J",25446585
"194","Spies","CK",25380839
"195","Yamanaka","Y",25380575
"196","Spies","CK",25373937
"197","Iorio","ML",25306505
"198","Jones","CM",25300992
"199","Ross","C",25294560
